3.21116,3.21379,3.20491,3.20392,3.21083,2.19320,2.19255,2.19386,2.19123,2.19353,1.03711,1.03777,1.03744,1.03514,1.03810,-56.64119,-4014.00000
3.21478,3.20919,3.21050,3.21182,3.20754,2.19156,2.19551,2.18827,2.19090,2.19353,1.03843,1.03547,1.03514,1.03645,1.03810,-56.64119,-4013.00000
3.21379,3.20886,3.20688,3.21149,3.20951,2.19452,2.19353,2.18991,2.19386,2.19320,1.03678,1.03711,1.03744,1.03152,1.03448,-56.63286,-4012.00000
3.20984,3.21050,3.21149,3.20228,3.20853,2.19353,2.18531,2.19287,2.19419,2.19386,1.03908,1.03645,1.03711,1.03744,1.03876,-56.37503,-4011.00000
3.21215,3.20688,3.20655,3.21412,3.21346,2.20044,2.19551,2.19320,2.18926,2.19090,1.03941,1.03711,1.03678,1.04040,1.04073,-56.37503,-4010.00000
3.20984,3.21280,3.21017,3.21478,3.20820,2.19320,2.19452,2.19518,2.19419,2.19518,1.03974,1.03876,1.03711,1.03908,1.03876,-56.61168,-4009.00000
3.21215,3.21313,3.21083,3.21346,3.20327,2.19583,2.18893,2.19287,2.19616,2.19156,1.03777,1.03777,1.03843,1.03678,1.03678,-56.61168,-4008.00000
3.21872,3.20951,3.21215,3.20655,3.20951,2.19485,2.19386,2.19320,2.19485,2.19452,1.03876,1.03678,1.03415,1.03744,1.03908,-56.27790,-4007.00000
3.20886,3.21576,3.21346,3.20984,3.21248,2.19353,2.19551,2.19682,2.19386,2.19123,1.03777,1.03678,1.03580,1.03481,1.03547,-56.27790,-4006.00000
3.21017,3.21083,3.21083,3.21544,3.21280,2.19518,2.18827,2.19551,2.19649,2.19781,1.03711,1.03678,1.03876,1.03612,1.04073,-56.18885,-4005.00000
3.21017,3.21346,3.21445,3.21182,3.21445,2.19353,2.19616,2.19189,2.19452,2.19452,1.03547,1.03645,1.03580,1.04172,1.03481,-56.18885,-4004.00000
3.21445,3.21149,3.21576,3.21149,3.20853,2.19386,2.20044,2.19287,2.19880,2.19616,1.03941,1.03941,1.03908,1.04040,1.04007,-56.27108,-4003.00000
3.21346,3.21675,3.21248,3.20688,3.21445,2.20011,2.19452,2.19353,2.19649,2.19616,1.03810,1.03974,1.03481,1.03843,1.03843,-56.27108,-4002.00000
3.21215,3.21412,3.20919,3.21511,3.21807,2.19583,2.19781,2.19485,2.19255,2.19978,1.03711,1.03711,1.03185,1.03941,1.03876,-56.14361,-4001.00000
3.21379,3.21576,3.20820,3.21576,3.21576,2.20143,2.19616,2.19287,2.19715,2.19551,1.03645,1.03876,1.03810,1.03678,1.03612,-56.14361,-4000.00000
3.20984,3.21576,3.21412,3.21346,3.21017,2.19781,2.20044,2.19222,2.19485,2.19518,1.03678,1.03711,1.03810,1.03843,1.03448,-56.14164,-3999.00000
3.21050,3.21445,3.21215,3.21872,3.21116,2.19912,2.20176,2.19452,2.19551,2.19518,1.03547,1.03580,1.03810,1.03580,1.03514,-56.14164,-3998.00000
3.21248,3.21642,3.22136,3.21215,3.21938,2.19518,2.19715,2.20011,2.19353,2.19847,1.03645,1.03580,1.03251,1.03514,1.03415,-55.93199,-3997.00000
3.21807,3.21412,3.21346,3.20787,3.21412,2.19682,2.19287,2.18926,2.19781,2.19189,1.03810,1.03612,1.03415,1.03711,1.03777,-55.93199,-3996.00000
3.21379,3.21379,3.21280,3.20721,3.21708,2.19978,2.19781,2.19583,2.19682,2.19616,1.03876,1.03284,1.03843,1.03481,1.03316,-56.31794,-3995.00000
3.21412,3.21346,3.21872,3.21511,3.22037,2.19551,2.19386,2.19551,2.19715,2.19847,1.03908,1.03744,1.03974,1.03612,1.03547,-56.31794,-3994.00000
3.21313,3.21576,3.21248,3.21609,3.20853,2.19781,2.19880,2.19616,2.19880,2.19781,1.03678,1.03876,1.03448,1.03382,1.03612,-56.03000,-3993.00000
3.21017,3.21544,3.21872,3.21346,3.21478,2.19715,2.19353,2.19452,2.19616,2.19485,1.03514,1.03908,1.03777,1.03810,1.03777,-56.03000,-3992.00000
3.21149,3.21971,3.21971,3.22037,3.21182,2.19781,2.19353,2.19518,2.19781,2.19814,1.03876,1.03514,1.03612,1.03777,1.03678,-56.33119,-3991.00000
3.21741,3.21609,3.21445,3.21346,3.21445,2.19814,2.19682,2.19518,2.20472,2.20011,1.03612,1.03908,1.03547,1.03744,1.03678,-56.33119,-3990.00000
3.21905,3.21807,3.21544,3.21675,3.21741,2.20044,2.20176,2.19978,2.19912,2.19682,1.03645,1.03448,1.03810,1.03580,1.03810,-56.44248,-3989.00000
3.21412,3.21807,3.21412,3.21445,3.21478,2.20143,2.19386,2.20241,2.19616,2.19880,1.03744,1.03876,1.03645,1.03645,1.03580,-56.44248,-3988.00000
3.21379,3.21346,3.21215,3.21544,3.21248,2.19616,2.19287,2.19978,2.19682,2.19682,1.03382,1.03251,1.03777,1.03941,1.03876,-55.82656,-3987.00000
3.21905,3.22070,3.21741,3.21478,3.21544,2.19847,2.19485,2.19847,2.20044,2.19880,1.03185,1.03481,1.03645,1.03612,1.03678,-55.82656,-3986.00000
3.21346,3.21675,3.21478,3.21544,3.21774,2.19255,2.19485,2.20011,2.19419,2.19287,1.03711,1.03744,1.03810,1.03777,1.03580,-55.68776,-3985.00000
3.21774,3.21741,3.20919,3.21478,3.22004,2.19649,2.19847,2.20176,2.19320,2.19551,1.03382,1.03612,1.03974,1.03678,1.03941,-55.68776,-3984.00000
3.21741,3.21050,3.22168,3.21609,3.20787,2.19518,2.19912,2.19452,2.19616,2.19452,1.03810,1.03711,1.03284,1.03547,1.03645,-55.98097,-3983.00000
3.21741,3.21445,3.21379,3.22234,3.21478,2.20011,2.19814,2.19452,2.19419,2.19715,1.03645,1.03481,1.03876,1.04007,1.03481,-55.98097,-3982.00000
3.21149,3.21938,3.21050,3.21445,3.21478,2.19057,2.19978,2.19287,2.20011,2.19583,1.03448,1.03415,1.03711,1.03908,1.04106,-56.36850,-3981.00000
3.21708,3.21083,3.21017,3.21182,3.21905,2.19518,2.19880,2.19682,2.19748,2.19649,1.04172,1.03580,1.03612,1.03580,1.04073,-56.36850,-3980.00000
3.22004,3.21807,3.21741,3.21642,3.21708,2.19715,2.19781,2.19945,2.20176,2.19880,1.03908,1.03612,1.03678,1.04172,1.03908,-56.69358,-3979.00000
3.22136,3.21708,3.21412,3.21938,3.22399,2.19189,2.20143,2.19616,2.19978,2.19583,1.03777,1.04040,1.03810,1.03678,1.03612,-56.69358,-3978.00000
3.21248,3.21642,3.21872,3.21971,3.21478,2.19583,2.19978,2.19781,2.20110,2.19090,1.03908,1.03777,1.03711,1.03843,1.04073,-57.00308,-3977.00000
3.22004,3.21971,3.21872,3.21544,3.21840,2.19880,2.20044,2.20406,2.20044,2.19814,1.03645,1.03876,1.03612,1.03843,1.04040,-57.00308,-3976.00000
3.21971,3.21609,3.21807,3.21872,3.21774,2.19978,2.19880,2.20044,2.19551,2.20077,1.03810,1.03481,1.04139,1.03941,1.03843,-56.83343,-3975.00000
3.21544,3.21938,3.21708,3.21511,3.21313,2.19814,2.19748,2.19814,2.20011,2.20110,1.03941,1.03843,1.03810,1.03645,1.03810,-56.83343,-3974.00000
3.22333,3.21576,3.21938,3.22234,3.22070,2.19847,2.20274,2.19814,2.20143,2.19715,1.03941,1.04204,1.03777,1.03744,1.03974,-56.58036,-3973.00000
3.22333,3.21478,3.22399,3.22103,3.22267,2.19912,2.20208,2.20011,2.19616,2.19814,1.03876,1.03777,1.03744,1.04106,1.03810,-56.58036,-3972.00000
3.22267,3.22300,3.21511,3.22399,3.21478,2.19748,2.19912,2.20011,2.20406,2.19880,1.03974,1.04237,1.03974,1.03908,1.03908,-56.52232,-3971.00000
3.21905,3.21642,3.22201,3.22201,3.21445,2.20176,2.19912,2.20077,2.20011,2.19715,1.03547,1.04040,1.04237,1.03580,1.03908,-56.52232,-3970.00000
3.21445,3.22070,3.22103,3.21741,3.21642,2.20143,2.20373,2.20208,2.20307,2.19452,1.03876,1.04139,1.04270,1.03744,1.03744,-56.26553,-3969.00000
3.21938,3.21840,3.21938,3.22366,3.21905,2.20504,2.20110,2.19748,2.20208,2.20176,1.04237,1.04172,1.03908,1.04007,1.03941,-56.26553,-3968.00000
3.21807,3.22103,3.22464,3.22695,3.22464,2.19945,2.19814,2.20176,2.20472,2.20274,1.04040,1.04402,1.03843,1.03711,1.03908,-56.11713,-3967.00000
3.22267,3.22563,3.21642,3.22136,3.21938,2.19616,2.20176,2.20406,2.20044,2.20208,1.03744,1.04040,1.04270,1.03941,1.04270,-56.11713,-3966.00000
3.22300,3.21905,3.21872,3.22234,3.22234,2.20208,2.20044,2.20373,2.20768,2.20439,1.04303,1.03843,1.03777,1.04106,1.03481,-56.23303,-3965.00000
3.22300,3.21971,3.22168,3.22464,3.22662,2.20110,2.20340,2.20570,2.20208,2.19748,1.03514,1.04073,1.04402,1.04073,1.03777,-56.23303,-3964.00000
3.22596,3.22892,3.22136,3.22563,3.22366,2.20340,2.20537,2.20406,2.20406,2.20274,1.03744,1.04237,1.03974,1.04007,1.04073,-56.34123,-3963.00000
3.21938,3.22300,3.22497,3.22760,3.22399,2.19847,2.20439,2.20110,2.20439,2.20110,1.03941,1.04139,1.03941,1.04040,1.04237,-56.34123,-3962.00000
3.22662,3.21872,3.22201,3.22432,3.22464,2.20406,2.20241,2.20472,2.20439,2.19912,1.03941,1.04632,1.04237,1.03810,1.03711,-56.59728,-3961.00000
3.22728,3.22464,3.22300,3.22399,3.22037,2.20110,2.20340,2.19880,2.20307,2.20537,1.03974,1.04040,1.03941,1.04468,1.04073,-56.59728,-3960.00000
3.22497,3.22004,3.21840,3.22596,3.22530,2.20274,2.20176,2.20768,2.20537,2.20406,1.04106,1.04073,1.03843,1.04435,1.04303,-56.54011,-3959.00000
3.22234,3.22037,3.22234,3.22300,3.22793,2.20241,2.20537,2.20077,2.20176,2.20669,1.04533,1.04172,1.04501,1.04073,1.03876,-56.54011,-3958.00000
3.23089,3.22728,3.22070,3.22333,3.22629,2.19912,2.20274,2.20439,2.20603,2.20603,1.04106,1.03974,1.04106,1.03580,1.04073,-56.37017,-3957.00000
3.22333,3.22399,3.22136,3.23089,3.22399,2.20866,2.20077,2.20340,2.20439,2.20669,1.04336,1.03711,1.04303,1.04369,1.03908,-56.37017,-3956.00000
3.22662,3.22399,3.22103,3.22925,3.22234,2.20208,2.20439,2.20373,2.20241,2.20340,1.03941,1.03810,1.03974,1.04040,1.04336,-56.59704,-3955.00000
