Date	Alpha	P0	h1	mv	T	gamma	offset
Jun26,2026+1-37-18PM	10.489889791793464	0.002214386368126738	-0.006269352814267521	0.0006683430411694626	2.375728706835615	40.035829918588206	0.0022873004989649964	1.3804772973652764
Jun26,2026+1-55-20PM	10.545964570484912	0.002216693436298868	-0.006068419718635741	0.0004186917705416972	2.374118475666427	40.95521635410041	0.0022873008036518906	1.3843275033400253
Jun26,2026+10-56-35AM	10.54354186444947	0.0022155434821549713	-0.005634009565320733	0.00021582810029523004	2.5743023763525072	40.609208945356045	0.0022873016088563957	1.3854096845654562
Jun26,2026+11-28-25AM	10.606276449808492	0.0022052317082989683	-0.008021081696952523	0.0006878895225272857	2.574475377854254	39.70212850015181	0.002287300495702103	1.3813889376136912
Jun26,2026+11-36-33AM	10.70724781216868	0.0022063245337556334	-0.006630839746036004	0.00047717765669730175	2.5747422393006625	41.5418496923065	0.00228730049587464	1.37981229825111
Jun26,2026+11-52-41AM	10.601307839724518	0.0022059256278843488	-0.007120905878892776	0.0005233566350885461	2.5739750280615246	40.0660879060522	0.00228730049573161	1.3807663284923626
Jun26,2026+12-03-36PM	10.652316404041427	0.002205087460807703	-0.006901022373494686	0.000499879876239065	2.5753584000896255	39.74513654005187	0.002287300495702152	1.3797543499886793
Jun26,2026+12-12-49PM	10.64543478771512	0.0022063715115150473	-0.0055552922956739505	0.0002637358987222988	2.5747595462181234	39.75072609000652	0.0022873004957014256	1.3788204543254445
Jun26,2026+12-20-44PM	10.582971932944867	0.0022041881193057863	-0.008146089490712603	0.0006644745374579471	2.5756237591513207	39.79215264005375	0.0022873004957129632	1.3815570189812072
Jun26,2026+12-29-09PM	10.598982547918322	0.0022065288529919255	-0.0071422375403070665	0.0005712414212949465	2.375421260533479	39.776112010395806	0.0022873004957049614	1.3799447170014987
Jun26,2026+12-42-26PM	10.606685151156084	0.002211572842451738	-0.006028789976497695	0.0003318322462959424	2.5745341964484494	39.789040730246164	0.0022873004957014173	1.3828408939478438
Jun26,2026+12-50-28PM	10.576927207728978	0.0022112396662666463	-0.006134677418250679	0.00041475403812615597	2.3752775528560433	39.80319543002947	0.0022873004957033073	1.3812475249953564
Jun26,2026+12-58-38PM	10.637261343018121	0.0022103300915894074	-0.006144793468000444	0.0003988050092939658	2.37469191608148	39.79984893073192	0.0022873004957015826	1.3809162087214086
Jun26,2026+2-03-34PM	10.63362226311864	0.0022171513289480243	-0.005650203823036409	0.0003413216318975581	2.3754515853467213	40.92460954131957	0.002287300495709009	1.3840879336619836
Jun26,2026+2-27-49PM	10.621001097671522	0.0022175998696876606	-0.006104783996125105	0.00038188516337879264	2.3751579033618335	40.22715938336626	0.0022873004957118695	1.3854601289049204
Jun26,2026+2-36-47PM	10.512023499482403	0.0022160815005678883	-0.006842488763879979	0.0005282107515911954	2.3752393721364222	39.81467332003778	0.002287300495704057	1.3852912050140143
Jun26,2026+2-47-54PM	10.543335266707146	0.0022161909307531584	-0.005591389158700406	0.00029883070314101095	2.3758148819313254	39.81550581001802	0.0022873004957014364	1.383812350076318
Jun26,2026+2-58-11PM	10.588224445519675	0.002215497900020988	-0.006079929053896884	0.0003524364466754184	2.3745449186342196	41.61343043997871	0.0022873004957055295	1.3844355338052579
Jun26,2026+3-06-07PM	10.526767673124516	0.0022128332411627282	-0.006201015104532238	0.0004177986569759261	2.374798962195739	41.2069118413343	0.002287300495933636	1.3824034272944228
Jun26,2026+3-31-59PM	10.627292378452056	0.0022177683775725762	-0.005822518242853326	0.00033939680487066426	2.375548168430826	39.816416190437	0.002287300495701735	1.3850913318229594
Jun26,2026+4-14-20PM	10.58427544702882	0.002215420427954666	-0.006602163650967877	0.0005100431388623485	2.3740790622993395	39.8118952700142	0.00228730049570371	1.3842596188315095
Jun26,2026+4-22-14PM	10.480458104612964	0.002216927443949621	-0.005537055775091313	0.0002755110268233285	2.3746975191824453	39.84114378008422	0.002287300495701473	1.3843569602953687
Jun26,2026+4-33-29PM	10.53643224455483	0.002218071042457456	-0.006299309773158799	0.0003803845479635967	2.3752290609304394	39.81326522027884	0.002287300495702203	1.3864495364447913
Jun26,2026+4-53-29PM	10.575287993471893	0.002215462970346193	-0.00819093251662061	0.0007169694740117395	2.373619383569366	39.82297890021975	0.0022873004957015006	1.3873286063547494
Jun26,2026+5-09-29PM	10.528973061291273	0.0022105758589795422	-0.006038913213323754	0.000563353981739315	2.374369728394392	39.785928410000395	0.00228730049570142	1.3786191320394836
