0.000,0.000,0.755,0.754,0.755
0.000,0.000,0.755,0.755,0.755
0.000,0.000,0.753,0.755,0.754
0.000,0.000,0.756,0.755,0.754
0.000,0.000,0.755,0.756,0.755
0.000,0.000,0.754,0.756,0.760
0.000,0.000,0.758,0.756,0.754
0.000,0.000,0.756,0.755,0.757
0.000,0.000,0.754,0.754,0.755
0.000,0.000,0.755,0.756,0.751
0.000,0.000,0.755,0.756,0.754
0.000,0.000,0.755,0.756,0.754
0.000,0.000,0.755,0.760,0.755
0.000,0.000,0.755,0.752,0.752
0.000,0.000,0.755,0.754,0.754
0.000,0.000,0.754,0.755,0.755
0.000,0.000,0.754,0.754,0.755
0.000,0.000,0.755,0.755,0.754
0.000,0.000,0.755,0.755,0.755
0.000,0.000,0.755,0.757,0.755
0.000,0.000,0.755,0.755,0.754
0.000,0.000,0.754,0.754,0.755
0.000,0.000,0.751,0.755,0.757
0.000,0.000,0.751,0.756,0.750
0.000,0.000,0.752,0.755,0.761
0.000,0.000,0.755,0.755,0.759
0.000,0.000,0.754,0.755,0.753
0.000,0.000,0.756,0.755,0.754
0.000,0.000,0.754,0.755,0.755
0.000,0.000,0.755,0.756,0.755
0.000,0.000,0.754,0.755,0.753
0.000,0.000,0.755,0.754,0.754
0.000,0.000,0.753,0.755,0.755
0.000,0.000,0.754,0.753,0.755
0.000,0.000,0.754,0.758,0.756
0.000,0.000,0.754,0.754,0.755
0.000,0.000,0.754,0.747,0.756
0.000,0.000,0.757,0.752,0.756
0.000,0.000,0.755,0.757,0.756
0.000,0.000,0.753,0.754,0.755
0.000,0.000,0.753,0.754,0.755
0.000,0.000,0.757,0.755,0.755
0.000,0.000,0.754,0.755,0.756
0.000,0.000,0.758,0.755,0.752
0.000,0.000,0.755,0.754,0.754
0.000,0.000,0.754,0.756,0.752
0.000,0.000,0.756,0.755,0.756
0.000,0.000,0.755,0.754,0.754
0.000,0.000,0.755,0.754,0.755
0.000,0.000,0.755,0.755,0.754
