3.09210,3.08618,3.09045,3.09703,3.09045,2.12413,2.12216,2.12677,2.11953,2.12052,1.01540,1.01047,1.01014,1.01475,1.01179,-51.13681,-4014.00000
3.08585,3.08914,3.08848,3.09341,3.09769,2.12381,2.11887,2.12348,2.12348,2.12019,1.00751,1.01179,1.00948,1.01277,1.01211,-51.84349,-4013.00000
3.09308,3.09144,3.09374,3.08914,3.09374,2.12742,2.12315,2.12348,2.12282,2.12085,1.01310,1.01179,1.00915,1.00915,1.01146,-51.84349,-4012.00000
3.09604,3.09374,3.08749,3.09045,3.09012,2.12183,2.12183,2.11887,2.12085,2.12117,1.01277,1.00850,1.01277,1.01277,1.01244,-51.48453,-4011.00000
3.09045,3.09275,3.08947,3.09933,3.09440,2.12545,2.12512,2.12216,2.12249,2.12742,1.01113,1.00850,1.01014,1.00850,1.01047,-51.48453,-4010.00000
3.08979,3.09440,3.08848,3.09243,3.09144,2.12545,2.12348,2.12512,2.12150,2.12381,1.01113,1.01179,1.01376,1.01376,1.00850,-51.44704,-4009.00000
3.09407,3.08914,3.09473,3.09539,3.09243,2.12183,2.12512,2.12677,2.12052,2.12381,1.01310,1.00948,1.01080,1.01047,1.00981,-51.44704,-4008.00000
3.09506,3.09111,3.09703,3.09341,3.09308,2.12348,2.12841,2.12150,2.12545,2.12611,1.00981,1.01146,1.01277,1.00718,1.00981,-51.77036,-4007.00000
3.08881,3.09144,3.09604,3.09571,3.09835,2.12315,2.12512,2.12150,2.12775,2.12413,1.01244,1.01211,1.01310,1.00883,1.01277,-51.74339,-4006.00000
3.08947,3.09177,3.08749,3.09308,3.09012,2.12183,2.12611,2.12512,2.13433,2.12413,1.01508,1.01343,1.01113,1.01310,1.01310,-51.74339,-4005.00000
3.09374,3.09045,3.09473,3.09440,3.09571,2.12052,2.12578,2.12216,2.12150,2.12611,1.01146,1.01343,1.01080,1.01146,1.01409,-51.74339,-4004.00000
