<<<<<<< Updated upstream
=======
3.928481846718069300e-05
0.000000000000000000e+00
0.000000000000000000e+00
0.000000000000000000e+00
5.516965451800283170e-05
1.111638092726426053e-01
0.000000000000000000e+00
>>>>>>> Stashed changes
