Date	Alpha	P0	h1	mv	T	gamma	offset
Apr17,2026+1-00-30PM	12.421069334476805	1.1228685127588276	-0.004818569302043057	2.1012534576022484	43.98551805723408	0.002287300495701408	0.060527277634988295
Apr17,2026+1-10-46PM	12.54654792591669	1.1222278893750401	-0.0049148904842398105	2.1017195610575174	42.04689825003812	0.002287300495701408	0.06070911568356165
Apr17,2026+1-18-20PM	12.605580262644075	1.1221781377718232	-0.004700176299214311	2.102253715990921	42.559199272652286	0.002287300495701408	0.061298912785446885
Apr17,2026+1-25-35PM	12.365130499369336	1.1208283116905642	-0.004111270726918179	2.1010274233599695	43.58949554318749	0.002287300495701408	0.06088699165421815
Apr17,2026+1-33-06PM	12.388546463980987	1.1227264930513559	-0.004721492708175956	2.101355578756277	44.518265999506184	0.002287300495701408	0.061948231384432235
Apr17,2026+1-40-21PM	12.503999711598333	1.1227415002838943	-0.004746461473280876	2.100533156585918	43.917396960033656	0.002287300495701408	0.061751884774534756
Apr17,2026+1-47-59PM	12.523527209591691	1.1227847906870216	-0.005069508038795523	2.1021924493102873	44.52964089680273	0.002287300495701408	0.062407129517658935
Apr17,2026+2-34-56PM	12.421360014044385	1.1211829359952692	-0.004839225567045002	2.102731285625679	42.6406030729431	0.002287300495701408	0.06243573618359975
Apr17,2026+2-43-03PM	12.555470182346506	1.1210577434753672	-0.004860333795420514	2.102641330788192	40.51753537331093	0.002287300495701408	0.06199229240810325
Apr17,2026+2-51-02PM	12.385498281653236	1.1211258326172981	-0.004867485504052368	2.103264016128188	41.99205166950443	0.002287300495701408	0.06159369997505579
Apr17,2026+3-08-55PM	12.387252547689188	1.121064717664276	-0.004902685324805201	2.101800290393312	40.49706466688902	0.002287300495701408	0.06255714497852491
Apr17,2026+3-16-24PM	12.439553408120199	1.1209076278487802	-0.004817090325827954	2.102051508497721	40.52387066672853	0.002287300495701408	0.06205762151338791
Apr17,2026+3-35-26PM	12.566300420759005	1.1201741641331466	-0.004798222591293869	2.101365915230744	40.5343027225448	0.002287300495701408	0.061856020861246225
