Date	Alpha	P0	h1	mv	T	gamma	offset
Jun17,2026+1-02-30PM	0.1736193314301493	1.5229711385463374	0.00284029383595398	-0.00019399700055577256	2.7265491974839007	40.87126938369186	0.0007521500146119818
Jun17,2026+1-29-43PM	0.1746637071118975	1.5246824653037725	0.00274508792314837	-0.00017385320046513285	2.7275354078215828	39.95405784320543	0.0007521500146119818
Jun17,2026+1-37-39PM	0.1742798306260369	1.5240211956998473	0.002931257222697759	-0.0001804269495205204	2.7263030141313815	39.93004241501068	0.0007521500146119818
Jun17,2026+10-22-42AM	0.17411778797299382	1.5266411905308652	0.0020861805235716808	-0.00012890988211342839	3.476789097353596	40.355355584380554	0.0007521500146119818
Jun17,2026+10-30-40AM	0.1743171452360479	1.5268369959289585	0.0025359298199264324	-0.00020903401908397833	3.2259393077732925	40.87968139323473	0.0007521500146119818
Jun17,2026+10-55-47AM	0.1747576144814389	1.5257123564496722	0.00223413251859347	-0.0001436216902441219	3.227315166773109	41.721822369440595	0.0007521500146119818
Jun17,2026+11-03-39AM	0.17359126908551725	1.5256031612350063	0.002342307531519858	-0.0001313632727212107	3.225554328095571	39.70153183008653	0.0007521500146119818
Jun17,2026+11-11-38AM	0.17442060820113792	1.5258207382944613	0.0025957042856930767	-0.000181672995513695	3.227187300124905	41.01143523121429	0.0007521500146119818
Jun17,2026+11-19-32AM	0.17428834815680472	1.5260455206320152	0.0024082386211540167	-0.0001624635911485629	3.226436361799181	40.07157014609755	0.0007521500146119818
Jun17,2026+11-30-44AM	0.17391399570524824	1.5255164701892194	0.0024968128386419555	-0.00013772696124573418	3.476462155618387	39.7777818750127	0.0007521500146119818
Jun17,2026+11-47-12AM	0.17353091689311229	1.5264746872922794	0.0022733683994961415	-0.0001326725312229418	2.9783181014779547	40.15794666700677	0.0007521500146119818
Jun17,2026+11-58-43AM	0.17424426302682305	1.5246614334694695	0.00293417213048288	-0.00019265579796877227	3.2290736186231253	41.31813641318418	0.0007521500146119818
Jun17,2026+12-12-45PM	0.17364595574793396	1.5286682224238637	0.0019529242764353457	-0.00010746287126808305	1.1866826270431345	39.78747727158593	0.0007521500146119818
Jun17,2026+12-28-25PM	0.17393845905902916	1.5253155021584466	0.0026265717017228828	-0.0001660948545054136	2.9367222841210046	39.81660316834297	0.0007521500146119818
Jun17,2026+12-39-06PM	0.1743126468975753	1.5235696375414107	0.0027538466370875827	-0.00014187323315291672	3.22906357838979	41.773902353214524	0.0007521500146119818
Jun17,2026+12-46-56PM	0.17358649829969974	1.5227024989399565	0.0026600085455945528	-0.00013186491392954894	3.226644175955659	39.83171779002579	0.0007521500146119818
Jun17,2026+9-31-05AM	0.17406795568031774	1.5258946188107017	0.0029347030474534282	-0.00024115279182887402	3.476336398645065	40.93711693412756	0.0007521500146119818
Jun17,2026+9-49-23AM	0.17387304875069165	1.5260292761692902	0.0023651967233015215	-0.00016013497258765154	3.475859687801215	41.47543832643827	0.0007521500146119818
