3.44534,3.44534,3.45554,3.44698,3.44764,2.16854,2.17413,2.16952,2.16985,2.16886,1.05323,1.05816,1.05356,1.05783,1.05619,-52.21501,-4014.00000
3.44501,3.44994,3.44402,3.44797,3.44764,2.17347,2.17248,2.17314,2.16985,2.16919,1.05685,1.05487,1.05356,1.05487,1.05421,-51.15633,-4013.00000
3.45093,3.44501,3.44830,3.44896,3.44369,2.16919,2.17150,2.16755,2.17117,2.17117,1.05487,1.05553,1.05421,1.05389,1.05257,-51.15633,-4012.00000
3.44961,3.45586,3.44830,3.44600,3.44534,2.16985,2.17446,2.16821,2.17150,2.17610,1.05619,1.05652,1.05290,1.06145,1.05619,-51.34965,-4011.00000
3.45488,3.44797,3.44961,3.44731,3.44567,2.17413,2.16952,2.17314,2.17183,2.17183,1.05356,1.05323,1.05553,1.05586,1.05816,-51.34965,-4010.00000
3.44896,3.45356,3.44172,3.45225,3.44731,2.16755,2.16656,2.16919,2.17446,2.17150,1.05619,1.05652,1.05717,1.05454,1.05816,-51.74660,-4009.00000
3.45060,3.44731,3.44600,3.45521,3.44994,2.17742,2.17906,2.17248,2.17183,2.17117,1.05652,1.05356,1.05487,1.05356,1.05717,-51.74660,-4008.00000
3.44665,3.44073,3.45192,3.44764,3.44271,2.17117,2.17446,2.17314,2.17281,2.17314,1.05323,1.05619,1.05717,1.05487,1.05389,-51.31275,-4007.00000
3.44435,3.44534,3.44863,3.45290,3.44534,2.17084,2.17183,2.17281,2.17380,2.17807,1.05323,1.05586,1.05454,1.05224,1.05257,-51.31275,-4006.00000
3.44665,3.44830,3.45422,3.44633,3.45060,2.16985,2.17413,2.17314,2.17084,2.17183,1.05356,1.05750,1.05652,1.05553,1.05586,-51.48401,-4005.00000
3.44929,3.44567,3.44797,3.45257,3.45093,2.17248,2.17347,2.17314,2.17676,2.17643,1.05882,1.05619,1.05619,1.05849,1.05586,-51.48401,-4004.00000
3.44600,3.45619,3.45027,3.45126,3.45027,2.16952,2.16689,2.17511,2.17051,2.17248,1.05816,1.05257,1.05454,1.05487,1.05487,-51.54035,-4003.00000
3.45192,3.45159,3.44929,3.45685,3.45027,2.17281,2.17248,2.17610,2.17314,2.17413,1.05816,1.05652,1.05915,1.05816,1.05783,-51.54035,-4002.00000
