0.04855,0.02451,0.01114,0.00304,0.00246,0.00202
0.09978,0.05085,0.023,0.00309,0.00255,0.00206
0.23979,0.12321,0.05575,0.0039,0.00281,0.00215
0.41761,0.21331,0.09709,0.00407,0.00279,0.00216
0.51852,0.26656,0.12055,0.00565,0.00358,0.00235
0.88457,0.45293,0.20559,0.00944,0.00516,0.00293
1.48608,0.76421,0.3448,0.01004,0.00529,0.0031
1.85772,0.953,0.43114,0.01195,0.00647,0.00342
2.62964,1.34739,0.61081,0.0128,0.00683,0.00367
2.6772,1.37408,0.62112,0.01031,0.00531,0.00305
3.03776,1.55387,0.70612,0.0075,0.00425,0.00276
