Date	Alpha	P0	h1	mv	T	gamma	offset
Jun16,2026+2-11-31PM	15.646571171124641	0.0021658054221319356	-0.005740310376316046	0.0005540141615151046	1.8743563193991892	41.31961696871058	0.002287300631450839	1.3489978454013953
Jun16,2026+2-27-36PM	15.591535702496344	0.0021703438596462903	-0.004233817545503982	0.0002435637516870147	1.8748404108239285	40.38465721000284	0.0022873004957015847	1.3500941472320398
Jun16,2026+2-39-52PM	15.89658177281499	0.002164130645119675	-0.006197141456974079	0.0007624383037287439	1.8744180110026756	41.47111271016248	0.0022873004957026585	1.3474287714522046
Jun16,2026+2-48-13PM	15.562630205337761	0.002165956165034834	-0.0046255984225868785	0.0005304350008778295	1.8240950907009945	40.39046333001224	0.00228730049570511	1.3458456213345875
Jun16,2026+2-56-37PM	15.786620576280633	0.0021662333376119775	-0.005327416721817161	0.0005974541707247738	1.8741148876965075	42.35115712959575	0.002287300495701785	1.3476036231865272
Jun16,2026+3-33-33PM	15.670783724466691	0.0021727340347845684	-0.005387801139283174	0.0007254216565966484	1.6255559648784341	41.00217222025677	0.0022873005042212927	1.350346324787781
Jun16,2026+3-42-03PM	15.621995969825214	0.0021720645978101903	-0.005236254060410232	0.000705749630966228	1.625363463575424	40.304559960000184	0.0022873004957017266	1.3496511259444057
Jun16,2026+3-52-07PM	15.582988707605367	0.00217455300823551	-0.005014788009994161	0.0006074357188188502	1.624363412228793	40.28806441011692	0.0022873004957015214	1.3513237343107252
Jun16,2026+4-00-33PM	15.632034847985391	0.0021761991103144873	-0.005427447685892106	0.0007111787294869818	1.6246306585208325	41.239668279641485	0.00228730049583204	1.3526917261548679
Jun16,2026+4-08-26PM	15.829342876067464	0.002178389934654495	-0.004887473005076957	0.0006472104916242425	1.6250473522418387	40.27359129006174	0.0022873004957023003	1.3530446783350594
Jun16,2026+4-16-26PM	15.540583033724069	0.002177818596019973	-0.005530254228544308	0.0007326965043482336	1.625902987440693	40.259789950020306	0.0022873004957015327	1.3538281678559654
Jun16,2026+4-39-38PM	15.794291542921158	0.0021798343392274654	-0.0047598811749242995	0.0005877989658073826	1.624114706539543	40.91562611039263	0.002287300495732379	1.3540253944344833
Jun16,2026+4-49-00PM	15.75002221231064	0.0021777078830717955	-0.005570481351235802	0.000773053325474261	1.6245617641122647	40.2080962201686	0.0022873004957014594	1.3535413947113968
Jun16,2026+4-57-04PM	15.783840952544473	0.002178051960304845	-0.005531521294522619	0.000769551841924743	1.6256656503058065	40.158775372233315	0.0022873004957032223	1.3536733987204408
Jun16,2026+5-08-04PM	15.61369918471199	0.00217959966286799	-0.00583015588023836	0.0007835090846045556	1.8260846126746826	40.13815452015978	0.002287300495713366	1.3556245205065085
Jun16,2026+5-27-01PM	15.779762745451524	0.0021799886766987442	-0.005447408690618132	0.0007964527750534879	1.625999311962684	40.622378281112454	0.002287300495702507	1.3544276653964404
Jun16,2026+5-35-31PM	15.775957667798309	0.0021802904517501166	-0.005578501028479761	0.0008016306585232029	1.6255734265803334	40.11120406008999	0.0022873004957014525	1.354932369412144
Jun16,2026+5-50-10PM	15.714510019294718	0.0021809187651056355	-0.005305726165927174	0.0006823983548141792	1.8247719835687315	41.13189330863346	0.0022873005035149597	1.3557577605275293
Jun16,2026+5-58-13PM	15.679681743735888	0.0021811846065213636	-0.005559492700960045	0.000711865126080512	1.824203062845634	40.08231352007032	0.0022873004957015483	1.3564212010015846
Jun16,2026+6-06-02PM	15.703650913443955	0.002179861786549733	-0.006278415495364247	0.0008960766752404421	1.8254621996313827	40.08101935014663	0.002287300495702318	1.3561075696860503
Jun16,2026+6-14-02PM	15.803023968596069	0.002180798502759335	-0.004998736208648158	0.0006585841723752197	1.823944698339625	40.569295768627306	0.0022873004957487857	1.3549894923642043
Jun16,2026+6-24-21PM	15.6757172835058	0.002178854277067191	-0.00535157116086574	0.0006874678340926886	1.8242391386325942	40.080683550015486	0.0022873004957014243	1.354590597607592
Jun16,2026+6-32-11PM	15.732005665155128	0.0021774380942942827	-0.006297195796264821	0.00087032529643381	1.8242698281929266	40.05812678368079	0.0022873005001445316	1.3549092009612225
