18.611,18.611,18.604,42.861,42.539,41.564
18.604,18.604,18.598,42.375,42.543,41.732
18.598,18.611,18.604,42.703,42.858,42.047
18.611,18.618,18.611,42.700,42.694,41.728
18.591,18.611,18.591,42.221,41.732,42.372
18.604,18.598,18.604,42.539,42.211,42.050
18.618,18.604,18.591,42.378,42.060,42.533
18.598,18.604,18.611,42.060,42.050,42.372
18.604,18.611,18.604,41.738,42.057,43.018
18.598,18.604,18.598,41.896,41.735,42.536
18.604,18.598,18.604,41.574,42.211,42.369
18.604,18.611,18.604,41.249,41.728,42.854
18.604,18.598,18.611,42.214,42.211,42.053
18.618,18.604,18.611,42.063,42.536,42.375
18.604,18.591,18.604,42.053,42.053,42.369
18.611,18.598,18.604,42.861,42.372,41.735
18.604,18.591,18.604,42.697,42.858,41.410
18.604,18.611,18.618,42.378,42.214,42.372
18.604,18.611,18.604,41.893,42.861,41.403
18.598,18.598,18.598,42.060,43.343,41.564
18.591,18.618,18.598,42.382,42.533,42.378
18.598,18.611,18.604,42.382,41.732,42.533
18.604,18.598,18.604,42.382,41.574,42.375
18.611,18.598,18.598,42.060,42.053,41.889
18.618,18.611,18.604,41.574,42.053,42.861
18.604,18.604,18.598,41.091,41.728,42.208
18.611,18.604,18.618,42.375,42.050,42.369
18.604,18.598,18.611,41.738,41.081,42.365
18.591,18.604,18.604,41.416,42.375,42.050
18.604,18.604,18.604,41.574,42.053,41.410
18.598,18.604,18.604,42.053,41.893,41.735
18.591,18.604,18.618,42.539,42.378,41.088
18.591,18.591,18.598,42.057,42.700,41.732
18.598,18.604,18.611,43.179,42.851,41.571
18.604,18.591,18.604,42.700,42.700,41.403
18.637,18.604,18.611,42.385,42.378,42.050
18.611,18.618,18.604,42.700,42.218,41.893
18.604,18.604,18.598,42.218,42.375,42.214
18.604,18.604,18.604,42.543,41.410,42.854
18.604,18.611,18.604,41.732,42.057,41.883
18.611,18.604,18.604,42.543,42.539,42.530
18.611,18.604,18.604,42.378,41.410,43.015
18.598,18.598,18.591,41.738,41.889,42.369
18.604,18.604,18.604,41.738,41.732,42.539
18.611,18.604,18.598,41.738,41.245,43.015
18.591,18.598,18.604,41.252,41.893,42.697
18.604,18.604,18.618,41.580,42.378,42.533
18.604,18.598,18.604,42.543,42.372,41.896
18.598,18.591,18.604,42.211,42.543,41.893
18.598,18.598,18.604,42.224,42.378,41.728
18.591,18.618,18.604,43.189,42.697,41.889
18.604,18.591,18.611,42.063,42.378,42.057
18.604,18.598,18.611,42.861,42.378,41.571
18.604,18.598,18.604,42.700,42.536,41.571
18.598,18.591,18.604,42.700,42.697,42.375
18.604,18.611,18.611,42.378,41.732,42.539
18.624,18.611,18.598,41.416,42.543,42.690
18.611,18.618,18.604,41.899,42.375,42.697
18.598,18.604,18.598,41.741,41.406,43.015
18.611,18.598,18.604,41.577,41.893,43.018
18.611,18.604,18.611,41.574,42.378,42.694
18.618,18.591,18.604,41.580,42.214,42.053
18.598,18.604,18.618,42.057,41.577,41.893
18.611,18.604,18.604,42.057,42.375,41.242
18.604,18.598,18.611,42.221,41.735,41.571
18.598,18.618,18.598,42.378,42.214,42.211
18.604,18.604,18.618,42.861,42.694,41.564
18.604,18.604,18.611,42.700,42.375,42.047
18.598,18.618,18.598,42.703,42.369,41.242
18.585,18.611,18.604,42.864,42.539,42.211
18.598,18.604,18.591,42.703,41.725,41.728
18.604,18.618,18.604,42.543,42.053,41.728
18.604,18.611,18.611,41.413,41.249,42.694
18.604,18.604,18.598,42.378,41.722,43.018
18.604,18.598,18.611,42.063,42.053,42.694
18.611,18.611,18.604,40.923,41.567,42.211
18.611,18.611,18.598,42.543,41.732,41.893
18.618,18.604,18.618,41.091,41.893,42.536
18.604,18.591,18.611,41.416,41.571,42.050
18.611,18.598,18.611,41.732,42.378,41.889
18.591,18.598,18.611,42.060,41.567,42.053
18.591,18.604,18.604,41.732,42.378,41.410
18.591,18.618,18.604,42.539,43.022,41.893
18.578,18.604,18.598,42.539,42.372,41.893
18.604,18.598,18.598,42.536,43.022,41.406
18.591,18.604,18.611,42.703,42.211,42.214
18.604,18.611,18.604,42.858,42.050,41.728
18.611,18.585,18.598,42.378,42.697,41.886
18.598,18.598,18.598,42.378,41.571,41.889
18.618,18.611,18.604,42.385,42.047,42.214
18.611,18.604,18.611,42.700,41.886,42.533
18.611,18.604,18.604,41.574,41.577,42.694
18.604,18.618,18.611,41.255,41.571,42.211
18.604,18.598,18.604,41.735,42.533,42.536
18.611,18.591,18.604,42.214,41.574,42.211
18.611,18.591,18.611,42.060,41.893,42.536
18.618,18.611,18.604,41.580,42.218,42.053
18.604,18.591,18.604,42.382,42.375,41.889
18.591,18.598,18.598,42.385,42.536,41.567
18.598,18.644,18.618,42.378,42.858,41.577
18.591,18.604,18.611,42.703,42.854,42.211
18.598,18.598,18.611,42.053,42.697,41.561
18.611,18.611,18.604,42.539,42.378,41.406
18.591,18.611,18.604,43.186,42.214,42.218
18.598,18.611,18.598,42.700,42.057,42.372
18.604,18.604,18.604,42.218,42.214,42.214
18.604,18.611,18.598,42.378,42.053,42.536
18.604,18.598,18.604,41.899,42.218,42.053
18.611,18.611,18.604,42.378,41.413,42.694
18.611,18.604,18.604,41.577,40.927,42.375
18.611,18.611,18.598,42.060,41.893,42.523
18.604,18.598,18.598,41.896,41.889,42.372
18.604,18.598,18.611,41.735,41.732,41.886
18.604,18.604,18.611,41.735,42.218,42.375
18.618,18.598,18.598,42.060,42.372,42.375
18.611,18.604,18.604,41.896,42.211,41.732
18.598,18.598,18.618,41.896,42.378,41.893
18.591,18.611,18.598,42.700,42.375,41.889
18.598,18.611,18.604,43.022,42.536,42.211
18.598,18.604,18.598,42.382,43.015,41.558
18.591,18.604,18.611,42.700,42.536,41.896
18.591,18.611,18.604,42.053,41.893,42.050
18.611,18.604,18.591,41.732,41.732,42.530
18.611,18.598,18.585,41.896,42.375,42.530
18.604,18.611,18.604,41.896,41.571,42.697
18.611,18.604,18.598,41.574,41.571,42.053
18.604,18.604,18.598,41.735,41.899,42.050
18.611,18.611,18.604,42.221,41.886,42.536
18.598,18.604,18.604,41.893,41.732,42.854
18.604,18.611,18.604,41.413,42.053,42.211
18.611,18.591,18.598,42.382,42.375,41.893
18.604,18.598,18.604,42.539,41.893,41.410
18.591,18.604,18.604,42.214,42.221,41.889
18.598,18.604,18.604,42.536,43.018,42.047
18.598,18.611,18.611,43.022,42.694,40.766
18.604,18.604,18.598,42.378,42.050,42.861
18.598,18.591,18.618,42.861,42.372,42.214
18.604,18.598,18.598,42.378,43.018,42.047
18.604,18.618,18.604,42.378,42.057,42.050
18.598,18.618,18.618,42.378,42.543,42.378
18.604,18.604,18.591,42.057,42.057,42.375
18.611,18.611,18.604,42.382,41.406,42.858
18.598,18.598,18.604,41.735,42.214,42.214
18.618,18.604,18.598,41.738,41.893,42.050
18.611,18.604,18.618,42.060,42.214,42.539
18.604,18.598,18.604,42.218,41.896,42.690
18.604,18.618,18.604,41.902,41.889,42.214
18.604,18.604,18.604,42.063,42.700,41.728
18.591,18.604,18.604,42.539,42.536,41.400
18.598,18.598,18.611,42.218,42.533,42.053
18.598,18.604,18.618,42.858,42.539,41.403
18.618,18.618,18.604,42.214,43.018,41.084
18.611,18.611,18.611,42.533,42.057,41.564
18.618,18.611,18.598,42.861,42.536,42.208
18.591,18.618,18.604,42.385,42.372,42.700
18.604,18.611,18.604,42.378,41.899,42.694
18.611,18.598,18.598,42.221,42.539,42.533
18.604,18.598,18.611,42.218,42.053,42.684
18.598,18.598,18.604,41.899,41.410,42.694
18.598,18.604,18.604,40.933,41.410,43.179
18.604,18.604,18.604,42.050,42.375,42.694
18.611,18.598,18.598,41.899,41.574,42.375
18.611,18.604,18.611,41.899,42.214,42.053
18.604,18.611,18.591,41.899,41.567,42.050
18.611,18.591,18.591,42.700,41.896,41.728
18.611,18.611,18.604,41.896,41.896,42.214
18.591,18.611,18.604,41.735,43.022,41.732
18.598,18.604,18.604,43.507,42.700,41.893
18.604,18.604,18.598,42.543,43.179,42.375
18.598,18.604,18.604,42.378,42.218,42.214
18.598,18.604,18.611,42.214,43.022,41.728
18.611,18.604,18.611,42.543,41.567,42.533
18.598,18.604,18.611,42.221,41.735,42.050
18.598,18.611,18.598,42.378,41.893,42.365
18.624,18.604,18.598,41.735,42.530,42.533
18.611,18.604,18.604,41.413,42.053,42.053
18.604,18.604,18.604,42.221,41.889,42.536
18.611,18.598,18.591,41.094,42.211,42.530
