Date	Alpha	P0	h1	mv	T	gamma	offset
Jun11,2026+11-08-10AM	0.08989040458203834	1.5509152413411178	0.0013454091475730882	-0.00011962820817634139	1.7275387714416781	39.334772845467135	0.0008019679297793236
Jun11,2026+11-49-40AM	0.0897003144087809	1.5512063773390845	0.0013385599482092186	-0.00012867154682489658	1.9752660683094607	39.42603967448062	0.0007649462139616607
Jun11,2026+12-16-22PM	0.08967604242780602	1.5508671083397283	0.001529337518651765	-0.00015746041654516333	1.7282213930566528	40.31487173252459	0.0007522104353444992
Jun11,2026+12-28-59PM	0.08995940588514073	1.5511776788936325	0.0011606296225718019	-8.593381221967371e-05	1.725563309704133	40.57924347734308	0.0006838586026158837
Jun11,2026+3-39-24PM	0.09012314113271991	1.5420779042282158	0.0018871849890876257	-0.00016638071475920355	2.726882486523585	39.622100581265364	0.0007405214339235377
Jun11,2026+3-47-29PM	0.09007608179235516	1.5407314258606943	0.002015489313494457	-0.00015456268555393644	2.9767973689330463	40.17997910776847	0.0006457350685573339
Jun11,2026+4-04-03PM	0.09016698380712773	1.5410500430673402	0.0022778641269842834	-0.0002077964485450052	2.9762011103258654	40.607119765325685	0.0007522088585925683
Jun11,2026+4-22-54PM	0.09006118587556577	1.5350164983766954	0.0018792536911261461	-0.00015891454320702945	2.7267486654859923	39.68355971532976	0.0005850297899721587
Jun11,2026+4-34-31PM	0.09017092459692888	1.5365241142287935	0.0014903608070104728	-0.00014474091243397974	1.7277612818660848	40.170223643649024	0.0006131486762517256
Jun11,2026+4-42-32PM	0.09036509051295782	1.53459329606728	0.0023468305655257107	-0.00022769684078015402	2.9770505656920054	40.6417693834628	0.0007522072049058902
Jun11,2026+4-58-28PM	0.08996877511231904	1.5354346796843252	0.002003042940768134	-0.00020026870256848242	2.72615483981559	39.92691552129486	0.0007095050334995886
Jun11,2026+5-07-49PM	0.08995517888360238	1.5340188127491032	0.0021581463655920385	-0.00019057196407786664	2.9759415493093817	40.628598739450034	0.0007522085632077177
Jun11,2026+5-16-38PM	0.08983859369111236	1.5339955639342504	0.001960411393168732	-0.0001776302647295339	2.976418413547118	39.627599875323476	0.000716601671626903
Jun11,2026+5-29-21PM	0.08985287010479603	1.5362125657512395	0.0015095276277618992	-0.0001574352375806508	2.225576043388437	41.478732056472204	0.0005796824098335982
Jun11,2026+5-37-55PM	0.08974134813953683	1.5360892551931329	0.0013920505413377942	-0.00012059805193785052	2.227596280282123	40.86338272919245	0.0008442948229465772
