Date	Alpha	P0	h1	mv	T	gamma	offset
May28,2026+1-37-31PM	18.13301594883349	1.3051465638001702	-0.00958902823192088	0.0008038896159574137	2.04492159475591	63.391033930652384	0.002287300495701683
May28,2026+2-22-26PM	18.237451210628688	1.314282497140524	-0.00955869668478544	0.0009269782839099627	2.0449174906759153	63.45694686591575	0.002287300495701713
May28,2026+2-31-05PM	18.163172449827567	1.3049889459885027	-0.012506730452530057	0.0014758484419015096	2.043872345071618	61.43302949016348	0.002287300495705316
May28,2026+2-39-02PM	18.177392241193616	1.3122540894356738	-0.009106920880267806	0.0008941023346804974	2.0452850658689745	62.387483763523825	0.0022873004957018254
May28,2026+2-47-24PM	18.171757611500546	1.3136822744912386	-0.009167307245602356	0.0009063003599539615	2.044317387580333	63.44247066991964	0.0022873004957143753
May28,2026+2-55-44PM	18.21191136355177	1.3126604766096273	-0.008144795602837356	0.0006761053411285486	2.044957366772059	63.18945101470728	0.002287301460605977
May28,2026+3-03-49PM	18.277834145360877	1.3076918466954583	-0.009864817628852721	0.0009758089940757553	2.044339796373099	62.06863309531891	0.002287300495701444
May28,2026+3-11-47PM	18.17268216405264	1.310552515622623	-0.006658494378420051	0.000503548081093417	2.044594652051575	61.431934040035934	0.002287300495701894
May28,2026+3-19-54PM	18.068708286019902	1.3083330167718525	-0.00815090086831294	0.0009666404316684682	2.0447828023858636	61.39354185012174	0.0022873004957032835
May28,2026+3-27-49PM	18.276679008189948	1.315497217922657	-0.01617679588192802	0.0017332523655699521	2.045094829833226	61.42901519000877	0.002287300495705443
May28,2026+3-37-09PM	18.3502704643825	1.3026917422422675	-0.0058515880741205955	0.00028595388809585996	2.0449540553168517	62.51040222066789	0.0022873206474895895
May28,2026+3-59-05PM	18.365874797441048	1.3028599586263399	-0.01018722884455047	0.0008738896281718399	2.04517723191051	61.43889932000289	0.002287300495702039
May28,2026+4-16-31PM	18.29719494938747	1.3004940708135373	-0.009042775151306392	0.0006966192846598726	2.04488761087274	62.92410963954828	0.002287300495740333
May28,2026+4-36-20PM	18.333915094160613	1.3130962994225	-0.010166597713893336	0.0006196124477309524	2.045423133670627	63.19066670303714	0.002287300495701409
May28,2026+5-15-31PM	18.358080182513305	1.31411441975187	-0.009902995477814544	0.000979581312428842	2.0446048776901424	62.666015721391524	0.002287300495701561
May28,2026+5-23-41PM	18.24765384576486	1.3098396454856105	-0.009204072670185194	0.000795872580914612	2.0458530979771847	62.90164091779826	0.0022873004957026147
May28,2026+5-39-46PM	18.281199447657375	1.320330752384774	-0.008663850385015074	0.0008968465287771444	2.044756164603487	63.43624624985807	0.0022873004957054428
May28,2026+6-01-12PM	18.38587550931329	1.3190721289532394	-0.012248852936511559	0.001430983574678194	2.044589957116404	61.491619440001315	0.00228730049570439
