Date	Alpha	P0	h1	mv	T	gamma	offset
May28,2026+1-37-31PM	0.3018968693328816	1.4848775062793569	-0.0010259315949263494	-4.639452116187102e-05	3.5035756672218428	61.48966545256649	0.0005806647888943838
May28,2026+2-22-26PM	0.3024011747798745	1.4837879279099977	-0.001574878406533779	4.037654154965434e-05	2.0045781967178127	61.44167815001729	0.0005785769349697711
May28,2026+2-31-05PM	0.30118439327960567	1.4832129968194474	-0.0022291880133138747	0.00015548819591606764	2.0045556773467537	61.44068238280438	0.0007586242274309501
May28,2026+2-39-02PM	0.3021550445942143	1.4845336497847117	-0.0010957240851059598	-5.894001298115518e-05	3.0040574022912425	61.77967224759701	0.0006388176468679104
May28,2026+2-47-24PM	0.3023796828372518	1.4845506138856637	-0.0011312756334676646	-5.3999001782968354e-05	2.7547268958995588	61.40970602498289	0.0005786652544389845
May28,2026+2-55-44PM	0.3024515531681047	1.485439224827766	-0.0013989463873914612	6.172650854646771e-07	3.2540763094569525	62.43859442843192	0.0007521546986200332
May28,2026+3-03-49PM	0.3025698804336012	1.4842098849376177	-0.0009859179574012668	-6.857706949296872e-05	3.003940909201551	62.42438713102966	0.0007521545530640445
May28,2026+3-11-47PM	0.30197396485344274	1.4846546239851839	-0.0014726402124876708	1.2774295622833476e-05	2.5045830428531177	62.56078836900801	0.0006106455732938811
May28,2026+3-19-54PM	0.30244604107442097	1.4843090766025067	-0.0015625333950009294	2.5336675404828114e-05	2.5024238152848644	61.40853425770473	0.0005818863476467653
May28,2026+3-27-49PM	0.3020264109814341	1.4836975393277456	-0.002144790687120969	0.0001428992715914771	1.7550467212029337	61.42592173721935	0.0005822805030533881
May28,2026+3-37-09PM	0.30269732061513066	1.4830910798370713	-0.0012981348973399194	-7.333644156436284e-05	1.2162588015913711	61.43152823868681	0.0011521731633864598
May28,2026+3-59-05PM	0.301793962122078	1.4836724052264185	-0.0008590688050908901	-8.913584159878635e-05	3.0056847882332294	61.42163341093633	0.0005798480292842138
May28,2026+4-16-31PM	0.30283974656828017	1.4826680808711585	-0.0014237344415423713	6.144721936003671e-06	2.253166428120259	63.43057092166801	0.0007605755856592558
May28,2026+4-36-20PM	0.30142302273223187	1.4854613385962128	-0.0015149028501038938	3.879264277055e-06	2.504478580034443	61.44233959191938	0.0005966829674971222
May28,2026+5-15-31PM	0.3021824024227735	1.4863049084100206	-0.0016884793599640107	4.944028729465151e-05	2.5028565228536634	61.46466228211308	0.0005787302582238706
May28,2026+5-23-41PM	0.3018936453034129	1.4857088132086598	-0.0011717898053942067	-3.096555833015911e-05	2.965528431728784	61.4594879694843	0.001135842674241206
May28,2026+5-39-46PM	0.30151016153501464	1.487106413370025	-0.0016634857344520505	4.854138980817144e-05	2.5043311764233875	62.10792093227912	0.000618221225922818
May28,2026+6-01-12PM	0.3031200539168728	1.486223133691548	-0.0007221956272680823	-0.00012722889104584758	2.756796664029218	61.48482548923137	0.0010573992765849378
