Date	Alpha	P0	h1	mv	T	gamma	offset
May28,2026+1-37-31PM	18.316588640469465	1.302125362233193	-0.009589029485355553	0.0008038898605308307	2.0449193001310677	62.35308823894947	0.002287300495701436
May28,2026+2-22-26PM	18.39366907916583	1.311236524603658	-0.009558699240244337	0.0009269787672495895	2.044919184757851	62.776003058379274	0.0022873004957041005
May28,2026+2-31-05PM	18.263123818714643	1.3019738426409393	-0.012506730345889354	0.0014758484272791765	2.043870728914011	61.43302949013369	0.002287300495701408
May28,2026+2-39-02PM	18.354405762601967	1.3092102866059263	-0.00910692098999007	0.0008941023568626377	2.045287610072463	61.436351741985085	0.0022873004957015713
May28,2026+2-47-24PM	18.29658410127501	1.3106352812428814	-0.009167307176367922	0.0009063003475330276	2.0443190856810167	63.133541392551784	0.002287300495701408
May28,2026+2-55-44PM	18.408049360067174	1.3096137322967016	-0.008144797767748435	0.0006761057498908669	2.0449578152722054	62.002737772533216	0.0022873004957026325
May28,2026+3-03-49PM	18.431031923973524	1.3046625326225685	-0.009864817223238903	0.0009758089247242337	2.044337850155277	61.42383550218768	0.0022873004957322807
May28,2026+3-11-47PM	18.27333840524123	1.3075036753020055	-0.006658495533461111	0.0005035482949235793	2.044593398924783	61.4319340400354	0.0022873004957014425
May28,2026+3-19-54PM	18.167307536708954	1.3052894588923385	-0.008150901007180626	0.0009666404576128906	2.04478208908414	61.39354185001215	0.0022873004957028233
May28,2026+3-27-49PM	18.37645042463367	1.3124788698401906	-0.016176796304717963	0.0017332524427928892	2.0450956969748937	61.42901519000702	0.002287300495701413
May28,2026+3-37-09PM	18.373803822467934	1.2996605864387218	-0.005851596005395524	0.00028595539127447393	2.0449554496488993	63.44050172999996	0.0022873004958790296
May28,2026+3-59-05PM	18.465425155490667	1.299846872760467	-0.010187231285307411	0.0008738900957451558	2.045177189412382	61.43889932006128	0.0022873004957014655
May28,2026+4-16-31PM	18.481596008429484	1.2974822046622256	-0.009042772861723105	0.0006966188597352075	2.0448877187208607	61.89603183204947	0.0022873004957021928
May28,2026+4-36-20PM	18.515007986740663	1.3100651574689812	-0.010166600630162633	0.000619612990532734	2.0454254016131044	62.19255718944651	0.0022873004957014082
May28,2026+5-15-31PM	18.544265688116088	1.311070157422266	-0.009902994897609822	0.0009795812124294109	2.0446039379719236	61.63236346727119	0.0022873005084002255
May28,2026+5-23-41PM	18.430796831786914	1.3068046010487997	-0.009204071842168995	0.0007958724272468852	2.0458551670918	61.881480890812654	0.0022873004957097067
May28,2026+5-39-46PM	18.381520388803036	1.317264464116781	-0.008663847165639546	0.0008968459329842984	2.0447536871644747	63.436246249759066	0.0022873004957014763
May28,2026+6-01-12PM	18.485309142395103	1.3160229232268472	-0.012248850716422774	0.0014309831656297172	2.0445895087847274	61.491619440198846	0.002287300495701543
