May28,2026+1-37-31PM	18.2587	0.301897
May28,2026+2-22-26PM	18.32771	0.302401
May28,2026+2-31-05PM	18.29564	0.301184
May28,2026+2-39-02PM	18.16802	0.302155
May28,2026+2-47-24PM	18.21174	0.30238
May28,2026+2-55-44PM	18.2618	0.302452
May28,2026+3-03-49PM	18.33023	0.30257
May28,2026+3-11-47PM	18.21535	0.301974
May28,2026+3-19-54PM	18.13614	0.302446
May28,2026+3-27-49PM	18.40255	0.302026
May28,2026+3-37-09PM	18.34671	0.302697
May28,2026+3-59-05PM	18.48618	0.301794
May28,2026+4-16-31PM	18.40242	0.30284
May28,2026+4-36-20PM	18.4405	0.301423
May28,2026+5-15-31PM	18.39874	0.302182
May28,2026+5-23-41PM	18.31119	0.301894
May28,2026+5-39-46PM	18.34388	0.30151
May28,2026+6-01-12PM	18.39597	0.30312
