26.327,26.320,26.327,42.544,42.380,42.869
26.334,26.327,26.327,42.062,43.020,42.708
26.334,26.327,26.327,42.695,42.216,43.033
26.320,26.334,26.327,42.538,42.380,42.866
26.327,26.334,26.320,42.541,42.541,43.037
26.320,26.327,26.334,42.699,42.380,42.548
26.340,26.334,26.327,42.699,42.380,43.342
26.320,26.314,26.320,42.856,42.059,42.869
26.320,26.334,26.334,43.020,41.572,42.390
26.327,26.334,26.327,43.178,42.377,41.907
26.327,26.320,26.327,42.374,42.223,42.226
26.320,26.334,26.320,41.730,42.223,41.585
26.320,26.314,26.327,42.541,42.384,42.062
26.327,26.334,26.334,42.531,42.377,42.065
26.327,26.314,26.320,41.891,42.049,41.740
26.327,26.334,26.327,41.891,43.020,42.226
26.340,26.327,26.334,42.213,42.863,42.384
26.320,26.334,26.334,41.894,42.859,42.869
26.320,26.327,26.320,42.538,43.181,42.866
26.320,26.327,26.320,42.695,42.699,42.226
26.334,26.340,26.334,42.856,42.374,43.030
26.327,26.327,26.327,42.535,42.216,42.715
26.320,26.327,26.327,43.184,42.538,43.188
26.327,26.334,26.334,42.856,41.579,42.387
26.314,26.320,26.327,41.894,42.380,42.229
26.307,26.334,26.320,42.538,41.898,42.219
26.334,26.320,26.327,42.859,42.863,41.585
26.320,26.327,26.334,42.213,42.384,42.065
26.327,26.327,26.334,41.733,41.898,41.907
26.320,26.327,26.327,42.699,42.377,41.740
26.334,26.320,26.320,41.250,43.024,42.387
26.334,26.327,26.314,42.213,42.866,42.229
26.327,26.334,26.334,42.052,43.184,42.071
26.334,26.314,26.327,41.566,43.666,42.062
26.320,26.334,26.327,41.891,42.699,42.548
26.327,26.327,26.327,42.052,42.544,42.548
26.327,26.334,26.327,42.535,43.017,43.030
26.334,26.327,26.327,41.730,42.387,43.030
26.314,26.320,26.314,42.695,42.380,42.705
26.320,26.320,26.334,43.020,42.055,43.191
26.327,26.320,26.307,42.699,41.737,42.705
26.320,26.320,26.320,42.859,41.898,42.062
26.334,26.320,26.320,42.689,42.216,41.743
26.340,26.314,26.327,42.052,42.055,41.582
26.334,26.334,26.334,41.891,41.898,42.390
26.334,26.320,26.327,42.863,42.541,42.065
26.327,26.320,26.334,42.216,42.380,42.551
26.347,26.327,26.320,41.737,42.052,42.390
26.320,26.314,26.327,41.408,42.699,41.099
26.327,26.327,26.327,42.216,42.377,42.548
26.320,26.320,26.327,41.405,43.178,42.226
26.334,26.327,26.327,42.049,42.702,42.551
26.320,26.334,26.327,42.374,42.538,42.544
26.334,26.327,26.327,42.531,42.380,42.712
26.340,26.340,26.327,42.371,42.213,43.191
26.320,26.334,26.314,42.699,42.059,42.380
26.334,26.334,26.327,42.538,42.219,42.705
26.320,26.320,26.320,42.695,42.059,42.548
26.334,26.334,26.327,42.535,41.733,42.229
26.334,26.334,26.334,42.859,42.210,42.387
26.320,26.327,26.320,42.699,42.541,41.737
26.334,26.327,26.334,42.059,42.213,41.743
26.320,26.314,26.334,42.859,42.380,42.062
26.340,26.327,26.340,42.210,42.377,42.065
26.340,26.327,26.327,41.569,42.699,42.065
26.327,26.327,26.334,41.727,42.702,42.384
26.327,26.334,26.327,42.052,42.535,42.223
