-4014,0.976292,0.966039,0.948676,0.714698,0.666009,0.662577,0.43147,0.397946,0.416083,0.654747,0.675167,0.667177,1.01771,1.02308,1.02919,0.82228,0.846126,0.823664,1.12053,1.11689,1.12436
-4013,1.0007,0.977586,0.973528,0.626577,0.700092,0.663781,0.411047,0.411634,0.511783,0.618498,0.672836,0.605761,1.01874,1.02564,1.02367,0.819926,0.801795,0.854726,1.12,1.12447,1.12075
-4012,0.977199,0.976669,0.970165,0.675566,0.673965,0.675745,0.448299,0.396993,0.451312,0.682258,0.65932,0.634927,1.034,1.02503,1.01476,0.829655,0.797493,0.814187,1.11812,1.12271,1.11657
-4011,0.973778,1.00556,0.933123,0.642355,0.631859,0.674732,0.430428,0.435586,0.416222,0.665558,0.655372,0.690836,1.0358,1.04983,1.01898,0.82541,0.796958,0.842977,1.11907,1.12679,1.12244
-4010,0.981636,0.957122,0.990419,0.690678,0.709621,0.644285,0.42053,0.42024,0.466803,0.662776,0.678241,0.636374,1.02195,1.01739,1.01939,0.817279,0.831489,0.825306,1.11714,1.13092,1.12053
-4009,0.957412,0.978191,0.981374,0.639541,0.660915,0.709119,0.442632,0.420702,0.422023,0.667966,0.655,0.6995,1.01495,1.02931,1.00461,0.788918,0.858011,0.810678,1.12655,1.1219,1.12274
-4008,1.02158,0.966468,0.946985,0.650051,0.685199,0.671288,0.445292,0.440201,0.390776,0.615417,0.655989,0.644267,1.01498,1.029,1.01249,0.850369,0.807642,0.850402,1.11793,1.1183,1.12801
-4007,0.968172,0.984152,0.978131,0.663819,0.695203,0.682385,0.409588,0.403667,0.332012,0.648196,0.639597,0.645505,1.05444,1.02469,1.01349,0.811693,0.841188,0.813299,1.12385,1.12022,1.1192
-4006,0.971179,0.927772,0.975729,0.692047,0.692998,0.714698,0.441442,0.384134,0.41924,0.665968,0.696073,0.638442,1.02014,1.02391,1.00814,0.797815,0.818589,0.854489,1.11736,1.12183,1.12132
-4005,0.997205,0.981498,0.982903,0.658026,0.661918,0.66899,0.426277,0.427067,0.43475,0.649217,0.709231,0.62309,1.01442,1.03398,1.02532,0.81435,0.831745,0.810586,1.12651,1.12823,1.12262
-4004,0.960336,0.997911,0.981686,0.66284,0.704206,0.686065,0.392174,0.44068,0.443923,0.645313,0.631949,0.619456,1.03833,1.01644,1.01671,0.846314,0.823284,0.813696,1.12071,1.12343,1.12152
-4003,0.968282,0.960281,0.954279,0.641451,0.647808,0.69531,0.399605,0.378438,0.498487,0.663516,0.677489,0.645396,1.0227,1.02682,1.02179,0.787557,0.828074,0.841547,1.12637,1.12734,1.12264
-4002,0.982786,1.00277,0.956646,0.65709,0.698472,0.659884,0.444908,0.385832,0.373822,0.648087,0.644508,0.643052,1.02953,1.01538,1.01214,0.820246,0.801011,0.834877,1.12321,1.12264,1.11805
-4001,0.972533,0.987511,0.965877,0.690252,0.63718,0.668609,0.425585,0.375079,0.447635,0.694445,0.593551,0.676753,1.02396,1.0243,1.02073,0.836237,0.828932,0.871718,1.12881,1.12486,1.11728
-4000,0.964292,0.97309,0.981686,0.687034,0.682943,0.65712,0.41624,0.482011,0.430011,0.628728,0.619394,0.638009,1.02164,1.02771,1.02718,0.818964,0.808098,0.81305,1.12869,1.11866,1.12441
-3999,0.96282,0.959357,0.980289,0.703587,0.640994,0.673588,0.452694,0.461797,0.472693,0.658038,0.635258,0.643645,1.02507,1.03382,1.03382,0.812292,0.812491,0.813641,1.1247,1.12912,1.12211
-3998,0.99791,0.963496,0.980168,0.677951,0.697403,0.667499,0.386189,0.428351,0.441488,0.722316,0.631131,0.698436,1.01478,1.01211,1.03692,0.806961,0.811072,0.808042,1.12452,1.12268,1.12095
-3997,0.976733,0.961623,0.984996,0.638519,0.710318,0.660274,0.410444,0.42328,0.466923,0.638135,0.668391,0.596884,1.02237,1.04106,1.0295,0.818893,0.810345,0.77049,1.1213,1.12206,1.12157
-3996,0.968033,0.977722,0.938059,0.679176,0.65524,0.660739,0.444705,0.4178,0.456856,0.627179,0.679329,0.642097,1.0215,1.02525,1.01588,0.834862,0.846866,0.857654,1.12789,1.13158,1.1188
-3995,0.980113,0.99518,0.990307,0.695066,0.669403,0.63548,0.433909,0.471557,0.438953,0.643645,0.661558,0.615599,1.01866,1.03886,1.02752,0.794454,0.810617,0.837629,1.12581,1.12516,1.12574
-3994,1.00901,0.964488,0.975783,0.663865,0.719861,0.691706,0.419076,0.453691,0.43536,0.617942,0.638315,0.629268,1.01898,1.0183,1.02005,0.818668,0.815223,0.798761,1.12004,1.11935,1.12547
-3993,0.94892,0.991816,0.980812,0.73146,0.650387,0.691465,0.404997,0.465306,0.470637,0.654096,0.651981,0.606151,1.03616,1.03192,1.02537,0.823472,0.801326,0.807643,1.12732,1.11992,1.1202
-3992,1.00551,1.00481,0.982085,0.670479,0.625113,0.658694,0.412837,0.436669,0.443367,0.667975,0.665182,0.618327,1.02229,1.02998,1.02617,0.864157,0.813095,0.849591,1.12351,1.12768,1.12131
-3991,0.987086,1.00559,0.970971,0.684721,0.64225,0.60726,0.401293,0.483656,0.465625,0.633571,0.653176,0.60912,1.01709,1.03037,1.02269,0.79778,0.832031,0.830559,1.12359,1.1189,1.11965
-3990,0.992352,0.987537,0.981698,0.684071,0.686875,0.659514,0.41973,0.430586,0.439503,0.657694,0.652337,0.613732,1.01984,1.0321,1.03275,0.829306,0.820327,0.821639,1.12776,1.12351,1.12701
-3989,0.971511,0.965336,0.958059,0.653233,0.657823,0.659467,0.449918,0.42691,0.40969,0.644455,0.661464,0.632279,1.02123,1.02356,1.02919,0.814031,0.810875,0.791679,1.12432,1.11705,1.12102
-3988,0.983497,1.00136,0.983553,0.637082,0.673548,0.644743,0.404637,0.372607,0.430045,0.634179,0.62425,0.604615,1.00848,1.01995,1.01766,0.834605,0.820613,0.809873,1.12302,1.12735,1.12272
-3987,0.986152,0.964099,0.991771,0.687733,0.701403,0.713887,0.418112,0.371286,0.437658,0.62527,0.635373,0.635621,1.03017,1.00423,1.03073,0.824879,0.826586,0.815005,1.12467,1.12309,1.12564
-3986,0.981199,0.995206,0.986944,0.683264,0.650104,0.637695,0.371479,0.420212,0.354408,0.68253,0.657662,0.633295,1.03459,1.01611,1.04026,0.7986,0.829565,0.820491,1.12392,1.13262,1.12135
-3985,1.00915,0.996576,0.980667,0.695848,0.644772,0.653277,0.417084,0.468366,0.469818,0.616869,0.623802,0.656906,1.01574,1.02419,1.03555,0.834755,0.805094,0.84532,1.1258,1.12307,1.1256
-3984,1.01848,0.973384,0.987424,0.632206,0.677876,0.6846,0.473567,0.466572,0.465502,0.658474,0.654229,0.663193,1.02403,1.03027,1.02264,0.819517,0.836984,0.812341,1.11998,1.12583,1.12357
-3983,0.966336,0.959247,0.980826,0.707905,0.634096,0.674092,0.453386,0.436501,0.452729,0.6015,0.634665,0.638974,1.02544,1.02153,1.0194,0.80972,0.783612,0.837208,1.12478,1.12653,1.12578
-3982,1.00211,0.970074,1.01095,0.708837,0.690438,0.662937,0.364401,0.406533,0.409218,0.614036,0.648001,0.661666,1.03453,1.0244,1.02472,0.81545,0.840686,0.843708,1.12593,1.11847,1.12351
-3981,0.98076,0.974013,0.959522,0.628343,0.709301,0.691089,0.442406,0.390535,0.4682,0.647587,0.67092,0.632896,1.01934,1.03542,1.02204,0.800684,0.818149,0.841111,1.12382,1.12586,1.12554
-3980,0.953402,0.968946,0.977871,0.667851,0.679834,0.692738,0.440594,0.425058,0.428343,0.636702,0.623173,0.635,1.04473,1.02795,1.02883,0.83337,0.805289,0.814707,1.12866,1.12446,1.12081
-3979,0.975531,0.976065,0.920806,0.68477,0.692316,0.674932,0.412987,0.402247,0.367037,0.597518,0.696152,0.627385,1.02881,1.01726,1.02935,0.812041,0.801809,0.844777,1.12256,1.12058,1.12402
-3978,0.9959,0.968335,0.960621,0.639888,0.697583,0.660232,0.430063,0.39107,0.396187,0.659308,0.631884,0.617071,1.03131,1.03101,1.03041,0.827149,0.807517,0.808866,1.12376,1.125,1.11636
-3977,0.966491,0.95136,0.942384,0.684905,0.665661,0.65037,0.408604,0.429605,0.438867,0.66113,0.624974,0.675399,1.03132,1.02797,1.01604,0.797761,0.818295,0.861142,1.12457,1.12346,1.12052
-3976,1.0083,0.923602,0.987024,0.658993,0.65618,0.680453,0.424574,0.372772,0.384256,0.661109,0.576924,0.649357,1.01047,1.02505,1.02357,0.838693,0.827766,0.823757,1.12604,1.125,1.1219
-3975,1.00836,0.953481,0.954981,0.657218,0.672666,0.661233,0.454798,0.393767,0.412564,0.658386,0.633412,0.64099,1.02038,1.01144,1.0329,0.830795,0.828214,0.837852,1.12781,1.12737,1.12014
-3974,1.00349,0.979498,0.962398,0.664451,0.62121,0.658506,0.358793,0.400927,0.470232,0.655078,0.675685,0.663976,1.02364,1.03823,1.02071,0.817715,0.814976,0.813939,1.12496,1.12932,1.12069
-3973,0.985599,0.95944,0.961389,0.70679,0.671871,0.700429,0.389422,0.433137,0.382864,0.630528,0.652759,0.597473,1.02059,1.03112,1.02478,0.809994,0.804373,0.810568,1.12241,1.12473,1.11512
-3972,1.00756,0.976764,0.986553,0.649886,0.665258,0.682513,0.389715,0.368449,0.417084,0.588298,0.633295,0.633255,1.03596,1.0381,1.03189,0.833234,0.810442,0.805688,1.1215,1.12534,1.13115
-3971,0.976637,0.984075,0.96472,0.661196,0.669644,0.690095,0.409133,0.386341,0.446317,0.663649,0.617392,0.634463,1.0271,1.02512,1.03322,0.809489,0.859623,0.843288,1.12433,1.12206,1.1224
-3970,0.980383,0.956472,0.968033,0.670067,0.669754,0.616726,0.396053,0.442974,0.439037,0.616613,0.629268,0.647868,1.02106,1.02845,1.02624,0.776312,0.810617,0.848494,1.11946,1.13171,1.12057
-3969,0.953306,0.968714,1.01443,0.719996,0.650495,0.66529,0.397216,0.370159,0.487924,0.582806,0.670372,0.637139,1.02792,1.03164,1.02004,0.830423,0.807547,0.819384,1.12748,1.12133,1.12369
-3968,0.989103,0.983043,0.949037,0.687729,0.673501,0.689031,0.399274,0.442826,0.425401,0.621901,0.625843,0.636266,1.03278,1.02624,1.01937,0.818296,0.800684,0.799563,1.12182,1.12677,1.12219
-3967,0.98557,0.987674,0.982072,0.705439,0.705572,0.705509,0.399274,0.381697,0.406996,0.647452,0.636374,0.65332,1.01377,1.02441,1.01078,0.801326,0.848001,0.829686,1.12504,1.12545,1.12501
-3966,0.973816,0.978844,0.967508,0.66999,0.667917,0.681257,0.405127,0.451489,0.351468,0.666776,0.674157,0.603657,1.01979,1.03112,1.02155,0.837917,0.824135,0.850853,1.12206,1.12887,1.11648
-3965,1,0.945846,0.975916,0.714376,0.693427,0.685945,0.411532,0.447715,0.406533,0.653679,0.695538,0.656594,1.01188,1.0181,1.02386,0.806288,0.818881,0.821411,1.12704,1.11332,1.1275
-3964,0.983542,0.96884,0.96041,0.636373,0.623628,0.689595,0.402633,0.389074,0.39824,0.635,0.623345,0.620406,1.03105,1.01846,1.02896,0.828932,0.825667,0.83772,1.11538,1.12084,1.12228
-3963,0.956975,0.965736,1.00554,0.670917,0.668291,0.646848,0.31482,0.374862,0.402079,0.649502,0.645241,0.641605,1.01481,1.04936,1.01813,0.827794,0.824197,0.826231,1.12747,1.12467,1.12041
-3962,0.960552,0.971923,0.982985,0.694538,0.715664,0.696323,0.411026,0.463249,0.43397,0.61196,0.681425,0.669479,1.03501,1.01964,1.03324,0.839873,0.845745,0.813546,1.12571,1.12307,1.12411
-3961,0.991011,0.969071,0.982035,0.680465,0.694914,0.606498,0.410004,0.372972,0.453674,0.702832,0.594629,0.655562,1.02102,1.04384,1.03507,0.821237,0.814885,0.830932,1.12433,1.12576,1.12415
-3960,0.99931,0.986917,0.945974,0.685779,0.67399,0.66006,0.398631,0.448421,0.42114,0.678676,0.589313,0.632972,1.02769,1.0351,1.02733,0.833637,0.819765,0.835981,1.13176,1.1264,1.11989
-3959,0.984152,0.9662,0.953155,0.67223,0.667149,0.684306,0.433371,0.399222,0.415045,0.627642,0.639736,0.683005,1.02876,1.02118,1.03822,0.811787,0.814766,0.817431,1.12681,1.12751,1.12091
-3958,0.961311,0.986238,0.979484,0.65137,0.670078,0.696183,0.337063,0.408236,0.379006,0.684065,0.673577,0.654402,1.01829,1.02394,1.01607,0.81881,0.846569,0.784837,1.12578,1.12768,1.12232
-3957,0.966491,0.977737,0.981711,0.69604,0.631279,0.678007,0.424716,0.406093,0.436791,0.69612,0.665597,0.611237,1.03183,1.01765,1.02806,0.813957,0.843862,0.822711,1.12273,1.12245,1.12542
-3956,0.974225,0.990999,0.961625,0.670518,0.684074,0.659491,0.423886,0.354149,0.380917,0.596791,0.60266,0.636804,1.02,1.0078,1.00906,0.838093,0.818002,0.842963,1.13398,1.12283,1.11719
-3955,0.974031,0.98549,0.957641,0.695889,0.677194,0.737804,0.367165,0.486547,0.430611,0.627617,0.624543,0.661878,1.0256,1.02148,1.02826,0.850114,0.82854,0.817711,1.11899,1.12071,1.12023
-3954,0.988278,0.995216,0.968228,0.618592,0.649996,0.678628,0.437551,0.438315,0.430951,0.658889,0.666373,0.682884,1.04116,1.01209,1.02477,0.800837,0.815153,0.80605,1.12427,1.12206,1.12231
