0.03083,0.00853,0.00539,0.00296,0.00054,0.00204,3.61859,0.63238,5.90393
0.07764,0.02190,0.01378,0.00299,0.00055,0.00206,3.54564,0.62922,5.66071
0.13632,0.03829,0.02406,0.00305,0.00055,0.00206,3.56059,0.62841,5.67435
0.19762,0.05571,0.03485,0.00310,0.00056,0.00207,3.54744,0.62550,5.67558
0.26370,0.07475,0.04649,0.00336,0.00064,0.00205,3.52764,0.62195,5.67411
0.38929,0.11071,0.06876,0.00344,0.00066,0.00206,3.51633,0.62111,5.66234
0.59011,0.16790,0.10406,0.00363,0.00073,0.00209,3.51458,0.61974,5.67152
0.81656,0.23072,0.14448,0.00410,0.00088,0.00215,3.53917,0.62623,5.65183
1.10968,0.31335,0.19666,0.00430,0.00092,0.00215,3.54139,0.62761,5.64282
1.55821,0.43778,0.27632,0.00698,0.00180,0.00229,3.55934,0.63118,5.63925
1.97349,0.55401,0.35007,0.00488,0.00120,0.00223,3.56220,0.63189,5.63746
2.32398,0.65126,0.41243,0.00608,0.00155,0.00236,3.56847,0.63329,5.63483
2.77961,0.78023,0.49277,0.00788,0.00199,0.00259,3.56256,0.63157,5.64089
3.22145,0.90201,0.57164,0.00547,0.00144,0.00247,3.57140,0.63374,5.63544
3.64446,1.01953,0.64744,0.00707,0.00199,0.00259,3.57464,0.63504,5.62904
5.05284,1.41023,0.89741,0.00762,0.00170,0.00340,3.58299,0.63636,5.63050
6.30297,1.76981,1.11719,0.00685,0.00177,0.00275,3.56138,0.63125,5.64180
