Date	Alpha	P0	h1	mv	T	gamma	offset
Apr22,2026+10-03-41PM	16.479291990473424	1.156345100646989	-0.001283559201438723	1.8521789714995598	44.14040443766686	0.002287300495701408	0.045777375510445854
Apr22,2026+10-28-43PM	16.62986998824968	1.15523168957971	-0.0012266153775080384	1.8525199544637425	40.77169324146151	0.002287300495701408	0.04557341347464536
Apr22,2026+10-39-57PM	16.536717044842135	1.1563551884156391	-0.0012093096517614003	2.102955236534488	43.00732684877547	0.002287300495701408	0.045407717883233195
Apr22,2026+11-00-27PM	16.67168303737021	1.1558882679349023	-0.0014639677737587483	1.851491697643217	40.61369266946677	0.002287300495701408	0.045883229501234364
Apr22,2026+5-23-35PM	16.4552420586018	1.1609279496115175	-0.0009722948822091951	1.852155716750913	44.73396266587031	0.002287300495701408	0.045234012031654
Apr22,2026+5-33-04PM	16.490239416140398	1.1615726280049952	-0.0009459882001378522	1.8518841532494366	44.722863998309904	0.002287300495701408	0.044983856674050623
Apr22,2026+5-42-27PM	16.521497229702696	1.1613119214035617	-0.0013006419296865694	1.8519822506452905	43.874960114202395	0.002287300495701408	0.04514374392237361
Apr22,2026+5-50-45PM	16.658936705522006	1.1643085144957803	-0.0013107054747024402	1.8514948133414264	40.797506388674385	0.002287300495701408	0.04522833861637009
Apr22,2026+5-58-49PM	16.46171575994632	1.162468031305331	-0.0012581636820731368	1.8515863281115088	44.67545866464199	0.002287300495701408	0.04508467187983893
Apr22,2026+6-06-18PM	16.721509229401686	1.1589964263883692	-0.0010390963411130495	1.852088736798726	43.47628876745905	0.002287300495701408	0.04516439219622994
Apr22,2026+6-14-32PM	16.40296654931719	1.1591908553770647	-0.0010475646933640842	1.8520302565190527	43.474145877262025	0.002287300495701408	0.044742644376484064
Apr22,2026+6-22-00PM	16.39663695136282	1.159534412194857	-0.0009510215617041554	1.851198877637068	43.748097437487104	0.002287300495701408	0.044613841152514454
Apr22,2026+6-34-38PM	16.642955159139852	1.1594626776256989	-0.0010288385729863268	1.8521566412739936	40.685604667209404	0.002287300495701408	0.04449412284673907
Apr22,2026+6-44-17PM	16.57338926384004	1.1591689539053063	-0.0010184366319380693	1.8520903917762228	40.65686133397469	0.002287300495701408	0.04465704035950944
Apr22,2026+6-55-11PM	16.522188927293048	1.1585279761486802	-0.0010756871624536548	1.8513622229736995	40.66506200057998	0.002287300495701408	0.044477181442677975
Apr22,2026+7-03-55PM	16.76817969078329	1.1584849650940057	-0.001022005773144083	1.8515138240015867	40.632984000044374	0.002287300495701408	0.04477540298784459
